Time_ps;T_300;T_600
0;0,0580409318208694;0,0829403698444366
0,01;0,0912466570734978;0,132017731666565
0,02;0,11465997248888;0,165715679526329
0,03;0,141580864787102;0,202179074287415
0,04;0,167319059371948;0,23546114563942
0,05;0,175662845373154;0,249366506934166
0,06;0,171987920999527;0,253115296363831
0,07;0,164893642067909;0,253617942333221
0,08;0,156996160745621;0,25384709239006
0,09;0,146437779068947;0,249097257852554
0,1;0,146137729287148;0,250921308994293
0,11;0,150815159082413;0,258178293704987
0,12;0,154019445180893;0,259495437145233
0,13;0,159872397780418;0,262309223413467
0,14;0,158781513571739;0,258721560239792
0,15;0,157746404409409;0,253313809633255
0,16;0,157307729125023;0,248566910624504
0,17;0,148727521300316;0,236075162887573
0,18;0,134981259703636;0,217083543539047
0,19;0,124213583767414;0,201548099517822
0,2;0,117337696254253;0,188211634755135
0,21;0,121589511632919;0,184992358088493
0,22;0,130342483520508;0,19195568561554
0,23;0,14249724149704;0,203528806567192
0,24;0,156187742948532;0,211905628442764
0,25;0,158862963318825;0,212539747357368
0,26;0,157841309905052;0,213631302118301
0,27;0,155216678977013;0,218483909964561
0,28;0,152680173516274;0,229908674955368
0,29;0,153938680887222;0,249077066779137
0,3;0,15463450551033;0,269183099269867
0,31;0,154611989855766;0,286177396774292
0,32;0,146733835339546;0,299103587865829
0,33;0,134311214089394;0,307099431753159
0,34;0,131885409355164;0,317250102758408
0,35;0,133994564414024;0,329888314008713
0,36;0,134752720594406;0,342548042535782
0,37;0,134091019630432;0,352604627609253
0,38;0,131786599755287;0,365766912698746
0,39;0,131043195724487;0,391231209039688
0,4;0,138595744967461;0,423282593488693
0,41;0,154034018516541;0,446303516626358
0,42;0,173562735319138;0,452246278524399
0,43;0,181806683540344;0,440714836120605
0,44;0,18394310772419;0,429987341165543
0,45;0,182156309485435;0,425051867961884
0,46;0,175579264760017;0,426666915416718
0,47;0,167188987135887;0,434942007064819
0,48;0,15433232486248;0,443070888519287
0,49;0,145613744854927;0,442871779203415
0,5;0,139087215065956;0,447275876998901
0,51;0,136699989438057;0,460464775562286
0,52;0,133309885859489;0,472831398248672
0,53;0,134204924106598;0,479088842868805
0,54;0,142215609550476;0,476447403430939
0,55;0,155715689063072;0,464209407567978
0,56;0,161258041858673;0,446968764066696
0,57;0,160861104726791;0,420512139797211
0,58;0,153613463044167;0,400967091321945
0,59;0,146462336182594;0,390121012926102
0,6;0,14259235560894;0,394151926040649
0,61;0,146018221974373;0,407494246959686
0,62;0,152861088514328;0,423753291368485
0,63;0,156460762023926;0,440033197402954
0,64;0,15868416428566;0,452176541090012
0,65;0,158929213881493;0,448564559221268
0,66;0,159904837608337;0,437538951635361
0,67;0,163582444190979;0,425697892904282
0,68;0,163129165768623;0,410903692245483
0,69;0,157009080052376;0,397881150245667
0,7;0,147500246763229;0,400447070598602
0,71;0,138367936015129;0,416066467761993
0,72;0,132430955767632;0,439569473266602
0,73;0,127461597323418;0,456721752882004
0,74;0,126154035329819;0,47016778588295
0,75;0,136510461568832;0,486096352338791
0,76;0,145839184522629;0,500017940998077
0,77;0,147210106253624;0,505894243717194
0,78;0,143783807754517;0,512247145175934
